2025-01-04 20:33:09,310 - I log actions! :D
2025-01-04 20:33:14,185 - Player: 1 | Cards Played: [8C] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 2 | Cards Played: [TS] | Boss Defeated: True | Player Died: False
2025-01-04 20:33:14,185 - Player: 2 | Cards Played: [AS, TD] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 1 | Cards Played: [AC, 2C] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 2 | Cards Played: [8D] | Boss Defeated: True | Player Died: False
2025-01-04 20:33:14,185 - Player: 2 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 1 | Cards Played: [9H] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 2 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 1 | Cards Played: [4D] | Boss Defeated: True | Player Died: False
2025-01-04 20:33:14,185 - Player: 1 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 2 | Cards Played: [8H] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 1 | Cards Played: [5C, 5D] | Boss Defeated: True | Player Died: False
2025-01-04 20:33:14,185 - Player: 1 | Cards Played: [AC, 3D] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 2 | Cards Played: [4C, 4S] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 1 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 20:33:14,185 - Player: 1 | Cards Played: [3H, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 2 | Cards Played: [AS, 8D] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 1 | Cards Played: [5C] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 2 | Cards Played: [AH] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 2 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 1 | Cards Played: [AD, 4S] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 2 | Cards Played: [2C] | Boss Defeated: True | Player Died: False
2025-01-04 20:33:14,185 - Player: 2 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 2 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 2 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 1 | Cards Played: [6H] | Boss Defeated: True | Player Died: False
2025-01-04 20:33:14,185 - Player: 1 | Cards Played: [JD] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 2 | Cards Played: [AD, 2D] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 1 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 20:33:14,185 - Player: 2 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 20:33:14,185 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: True
