2025-01-04 15:30:06,775 - I log actions! :D
2025-01-04 15:30:30,511 - Player: 1 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 2 | Cards Played: [3H, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 1 | Cards Played: [AC, 6D] | Boss Defeated: True | Player Died: False
2025-01-04 15:30:30,511 - Player: 1 | Cards Played: [5C, 5H] | Boss Defeated: True | Player Died: False
2025-01-04 15:30:30,511 - Player: 1 | Cards Played: [AD, 5S] | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 1 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 2 | Cards Played: [4C] | Boss Defeated: True | Player Died: False
2025-01-04 15:30:30,511 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 1 | Cards Played: [AH, 8D] | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 2 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 2 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 15:30:30,511 - Player: 2 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 1 | Cards Played: [3C, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 2 | Cards Played: [AS] | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 2 | Cards Played: [3H] | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 2 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 1 | Cards Played: [5D] | Boss Defeated: True | Player Died: False
2025-01-04 15:30:30,511 - Player: 1 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 2 | Cards Played: [AC, 6C] | Boss Defeated: False | Player Died: False
2025-01-04 15:30:30,511 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: True
