2025-01-04 22:55:48,511 - I log actions! :D
2025-01-04 22:55:49,188 - Player: 1 | Cards Played: [8C] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 2 | Cards Played: [8D] | Boss Defeated: True | Player Died: False
2025-01-04 22:55:49,188 - Player: 2 | Cards Played: [AD, 8H] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 1 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 2 | Cards Played: [AC] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 1 | Cards Played: [7D] | Boss Defeated: True | Player Died: False
2025-01-04 22:55:49,188 - Player: 1 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 2 | Cards Played: [3C] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 1 | Cards Played: [7S] | Boss Defeated: True | Player Died: False
2025-01-04 22:55:49,188 - Player: 1 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 1 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 2 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 22:55:49,188 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 1 | Cards Played: [AH, 3D] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 2 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 1 | Cards Played: [3H] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 2 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 1 | Cards Played: [AD, 6H] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 2 | Cards Played: [8H] | Boss Defeated: True | Player Died: False
2025-01-04 22:55:49,188 - Player: 2 | Cards Played: [JD] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 2 | Cards Played: [AC, 2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:55:49,188 - Player: 2 | Cards Played: [8S] | Boss Defeated: True | Player Died: False
2025-01-04 22:55:49,188 - Player: 2 | Cards Played: [9S] | Boss Defeated: False | Player Died: True
