2025-01-04 20:58:28,623 - I log actions! :D
2025-01-04 20:58:32,332 - Player: 1 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 2 | Cards Played: [AS, 3D] | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 1 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 2 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 20:58:32,332 - Player: 2 | Cards Played: [AD, TS] | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 2 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 2 | Cards Played: [7C] | Boss Defeated: True | Player Died: False
2025-01-04 20:58:32,332 - Player: 2 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 1 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 2 | Cards Played: [AH, 5D] | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 1 | Cards Played: [8H] | Boss Defeated: True | Player Died: False
2025-01-04 20:58:32,332 - Player: 1 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 2 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 2 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 20:58:32,332 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 1 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 2 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 2 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 2 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 1 | Cards Played: [7C] | Boss Defeated: True | Player Died: False
2025-01-04 20:58:32,332 - Player: 1 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 20:58:32,332 - Player: 2 | Cards Played: [AC, JD] | Boss Defeated: True | Player Died: False
2025-01-04 20:58:32,332 - Player: 2 | Cards Played: [2H] | Boss Defeated: False | Player Died: True
