2025-01-04 23:19:00,773 - I log actions! :D
2025-01-04 23:24:45,448 - Player: 1 | Cards Played: [AS, 6D] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,449 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [AD, TC] | Boss Defeated: True | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: [TH] | Boss Defeated: True | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [2C] | Boss Defeated: True | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: [AC, 2D] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [AD, 9H] | Boss Defeated: True | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [AS, 6H] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: [AH, 6D] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: [5H] | Boss Defeated: True | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: [JH] | Boss Defeated: True | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [7C] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [JD] | Boss Defeated: True | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: [3H, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: [AD, 3C] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 2 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 23:24:45,450 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: True
