2025-01-04 22:45:58,912 - I log actions! :D
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [AH, 6D] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [AS, 8D] | Boss Defeated: True | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: [9H] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: [3D, 3H] | Boss Defeated: True | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [AC, TD] | Boss Defeated: True | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [TC] | Boss Defeated: True | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [AD, 5H] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: [3C] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [4D, 4S] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: [6H] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: [7H] | Boss Defeated: True | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [JS] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [JD] | Boss Defeated: True | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [4H] | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [7D] | Boss Defeated: True | Player Died: False
2025-01-04 22:46:18,128 - Player: 2 | Cards Played: [3D] | Boss Defeated: False | Player Died: True
