2025-01-04 22:00:35,981 - I log actions! :D
2025-01-04 22:01:30,261 - Player: 1 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,262 - Player: 2 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,262 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [8H] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [7D] | Boss Defeated: True | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [AC, 6S] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [AD, 3C] | Boss Defeated: True | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [5C, 5H] | Boss Defeated: True | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [AH, 6D] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [6C] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [TD] | Boss Defeated: True | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [AS, 9S] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [5C, 5H] | Boss Defeated: True | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [AH, 7S] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [JH] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [JD] | Boss Defeated: True | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [AS, 3D] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [AC] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [7D] | Boss Defeated: True | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [AD, 7H] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [4C, 4H] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [QD] | Boss Defeated: True | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [JS] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 2 | Cards Played: [3C, 3D] | Boss Defeated: False | Player Died: False
2025-01-04 22:01:30,263 - Player: 1 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
