2025-01-04 16:02:53,362 - I log actions! :D
2025-01-04 16:03:08,355 - Player: 1 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 2 | Cards Played: [AH, 6D] | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 2 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 1 | Cards Played: [AS, 5D] | Boss Defeated: True | Player Died: False
2025-01-04 16:03:08,356 - Player: 1 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 1 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 2 | Cards Played: [4C] | Boss Defeated: True | Player Died: False
2025-01-04 16:03:08,356 - Player: 2 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 1 | Cards Played: [2D, 2S] | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 2 | Cards Played: [3C, 3D, 3H] | Boss Defeated: True | Player Died: False
2025-01-04 16:03:08,356 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 1 | Cards Played: [5H] | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 1 | Cards Played: [AD, 4H] | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 2 | Cards Played: [AC, 7D] | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 1 | Cards Played: [4D] | Boss Defeated: True | Player Died: False
2025-01-04 16:03:08,356 - Player: 1 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 2 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 2 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 2 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 16:03:08,356 - Player: 2 | Cards Played: [4C] | Boss Defeated: True | Player Died: False
2025-01-04 16:03:08,356 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: True
