2025-01-04 21:25:16,414 - I log actions! :D
2025-01-04 21:25:18,777 - Player: 1 | Cards Played: [AD, 7C] | Boss Defeated: False | Player Died: False
2025-01-04 21:25:18,778 - Player: 2 | Cards Played: [9C] | Boss Defeated: True | Player Died: False
2025-01-04 21:25:18,778 - Player: 2 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 21:25:18,778 - Player: 1 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 21:25:18,778 - Player: 2 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 21:25:18,778 - Player: 1 | Cards Played: [8D] | Boss Defeated: True | Player Died: False
2025-01-04 21:25:18,778 - Player: 1 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 21:25:18,778 - Player: 2 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 21:25:18,778 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:25:18,778 - Player: 2 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 21:25:18,778 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:25:18,778 - Player: 2 | Cards Played: [AC] | Boss Defeated: False | Player Died: False
2025-01-04 21:25:18,778 - Player: 1 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 21:25:18,778 - Player: 1 | Cards Played: [AS, 2S] | Boss Defeated: False | Player Died: False
2025-01-04 21:25:18,778 - Player: 2 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 21:25:18,778 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:25:18,778 - Player: 2 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 21:25:18,778 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:25:18,778 - Player: 2 | Cards Played: [3H] | Boss Defeated: True | Player Died: False
2025-01-04 21:25:18,778 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: True
