2025-01-04 20:03:43,463 - I log actions! :D
2025-01-04 20:07:40,196 - Player: 1 | Cards Played: [6H] | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 2 | Cards Played: [9C] | Boss Defeated: True | Player Died: False
2025-01-04 20:07:40,197 - Player: 2 | Cards Played: [AD, TS] | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 1 | Cards Played: [4C] | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 2 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 1 | Cards Played: [3H] | Boss Defeated: True | Player Died: False
2025-01-04 20:07:40,197 - Player: 1 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 2 | Cards Played: [AS, 5C] | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 1 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 20:07:40,197 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 1 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 2 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 1 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 20:07:40,197 - Player: 1 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 2 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 1 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 1 | Cards Played: [AC] | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 1 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 2 | Cards Played: [3C] | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 2 | Cards Played: [4H] | Boss Defeated: False | Player Died: False
2025-01-04 20:07:40,197 - Player: 1 | Cards Played: [7S] | Boss Defeated: True | Player Died: False
2025-01-04 20:07:40,197 - Player: 1 | Cards Played: [3S] | Boss Defeated: False | Player Died: True
