2025-01-04 22:18:36,768 - I log actions! :D
2025-01-04 22:22:26,510 - Player: 1 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [AD, 5H] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [8D] | Boss Defeated: True | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [TH] | Boss Defeated: True | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 1 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [AC, 4D] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [7D] | Boss Defeated: True | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 1 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 1 | Cards Played: [AS] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [AH, JD] | Boss Defeated: True | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [7H] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 1 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [6H] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 1 | Cards Played: [8D] | Boss Defeated: True | Player Died: False
2025-01-04 22:22:26,511 - Player: 1 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [5H] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 1 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 1 | Cards Played: [5D] | Boss Defeated: True | Player Died: False
2025-01-04 22:22:26,511 - Player: 1 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [3H] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 1 | Cards Played: [QS] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 1 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 1 | Cards Played: [AD] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [4D] | Boss Defeated: True | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 1 | Cards Played: [JS] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 22:22:26,511 - Player: 2 | Cards Played: [5C] | Boss Defeated: False | Player Died: True
