2025-01-04 15:23:43,869 - I log actions! :D
2025-01-04 15:23:46,333 - Player: 1 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,333 - Player: 2 | Cards Played: [AC, 9D] | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,333 - Player: 1 | Cards Played: [AH, 8D] | Boss Defeated: True | Player Died: False
2025-01-04 15:23:46,333 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,333 - Player: 2 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,333 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,333 - Player: 2 | Cards Played: [AS, 2H] | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,333 - Player: 1 | Cards Played: [4D, 4S] | Boss Defeated: True | Player Died: False
2025-01-04 15:23:46,333 - Player: 1 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,333 - Player: 2 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,333 - Player: 1 | Cards Played: [AD] | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,333 - Player: 2 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,333 - Player: 1 | Cards Played: [5D, 5H] | Boss Defeated: True | Player Died: False
2025-01-04 15:23:46,334 - Player: 1 | Cards Played: [AS, 3D] | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,334 - Player: 2 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,334 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,334 - Player: 2 | Cards Played: [3H] | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,334 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,334 - Player: 2 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,334 - Player: 1 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,334 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:23:46,334 - Player: 1 | Cards Played: [4C] | Boss Defeated: True | Player Died: False
2025-01-04 15:23:46,334 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: True
