2025-01-04 22:54:00,121 - I log actions! :D
2025-01-04 22:54:00,800 - Player: 1 | Cards Played: [AS, 6C] | Boss Defeated: False | Player Died: False
2025-01-04 22:54:00,800 - Player: 2 | Cards Played: [TC] | Boss Defeated: True | Player Died: False
2025-01-04 22:54:00,800 - Player: 2 | Cards Played: [3H] | Boss Defeated: False | Player Died: False
2025-01-04 22:54:00,800 - Player: 1 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 22:54:00,800 - Player: 2 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 22:54:00,800 - Player: 1 | Cards Played: [6S] | Boss Defeated: True | Player Died: False
2025-01-04 22:54:00,800 - Player: 1 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 22:54:00,800 - Player: 2 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 22:54:00,800 - Player: 1 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 22:54:00,800 - Player: 2 | Cards Played: [3C, 3D] | Boss Defeated: True | Player Died: False
2025-01-04 22:54:00,800 - Player: 2 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 22:54:00,800 - Player: 1 | Cards Played: [4H] | Boss Defeated: False | Player Died: False
2025-01-04 22:54:00,800 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:54:00,800 - Player: 1 | Cards Played: [AD, 2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:54:00,800 - Player: 2 | Cards Played: [AC, 6D] | Boss Defeated: True | Player Died: False
2025-01-04 22:54:00,800 - Player: 2 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 22:54:00,800 - Player: 1 | Cards Played: [8S] | Boss Defeated: False | Player Died: False
2025-01-04 22:54:00,800 - Player: 2 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 22:54:00,800 - Player: 1 | Cards Played: [6C] | Boss Defeated: True | Player Died: False
2025-01-04 22:54:00,800 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: True
