2025-01-04 21:51:45,508 - I log actions! :D
2025-01-04 21:53:04,523 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 2 | Cards Played: [AH, 2S] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 1 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 2 | Cards Played: [AD, 9S] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 1 | Cards Played: [2D] | Boss Defeated: True | Player Died: False
2025-01-04 21:53:04,524 - Player: 1 | Cards Played: [AC, TS] | Boss Defeated: True | Player Died: False
2025-01-04 21:53:04,524 - Player: 1 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 2 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 2 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 2 | Cards Played: [3C] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 1 | Cards Played: [TD] | Boss Defeated: True | Player Died: False
2025-01-04 21:53:04,524 - Player: 1 | Cards Played: [TH] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 2 | Cards Played: [3D, 3H] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 1 | Cards Played: [7H] | Boss Defeated: True | Player Died: False
2025-01-04 21:53:04,524 - Player: 1 | Cards Played: [AS, JD] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 2 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 1 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 1 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 2 | Cards Played: [4C] | Boss Defeated: True | Player Died: False
2025-01-04 21:53:04,524 - Player: 2 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 1 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 1 | Cards Played: [AD, JH] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,524 - Player: 1 | Cards Played: [8D] | Boss Defeated: True | Player Died: False
2025-01-04 21:53:04,524 - Player: 1 | Cards Played: [AH, TS] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 2 | Cards Played: [TC] | Boss Defeated: True | Player Died: False
2025-01-04 21:53:04,525 - Player: 2 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 1 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 2 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 1 | Cards Played: [3D, 3S] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 2 | Cards Played: [QH] | Boss Defeated: True | Player Died: False
2025-01-04 21:53:04,525 - Player: 2 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 1 | Cards Played: [QS] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 2 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 2 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 2 | Cards Played: [7H] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 2 | Cards Played: [6H] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 1 | Cards Played: [JD] | Boss Defeated: True | Player Died: False
2025-01-04 21:53:04,525 - Player: 1 | Cards Played: [AS, 8D] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 2 | Cards Played: [AH, 4S] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 1 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 2 | Cards Played: [QH] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 1 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 2 | Cards Played: [4D] | Boss Defeated: True | Player Died: False
2025-01-04 21:53:04,525 - Player: 2 | Cards Played: [QC] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 1 | Cards Played: [3H] | Boss Defeated: False | Player Died: False
2025-01-04 21:53:04,525 - Player: 2 | Cards Played: [AD, 7C] | Boss Defeated: True | Player Died: False
2025-01-04 21:53:04,525 - Player: 2 | Cards Played: [AH, KH] | Boss Defeated: False | Player Died: True
