2025-01-04 22:59:32,390 - I log actions! :D
2025-01-04 22:59:43,127 - Player: 1 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 2 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 2 | Cards Played: [AC] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 1 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 2 | Cards Played: [7D] | Boss Defeated: True | Player Died: False
2025-01-04 22:59:43,128 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 1 | Cards Played: [4C] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 1 | Cards Played: [9D] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 2 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 22:59:43,128 - Player: 2 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 1 | Cards Played: [3H] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 2 | Cards Played: [6H] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 1 | Cards Played: [AD, TS] | Boss Defeated: True | Player Died: False
2025-01-04 22:59:43,128 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 1 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 2 | Cards Played: [5D, 5H] | Boss Defeated: True | Player Died: False
2025-01-04 22:59:43,128 - Player: 2 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 1 | Cards Played: [AD, 5S] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 2 | Cards Played: [AH] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 1 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 2 | Cards Played: [3H] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 1 | Cards Played: [TD] | Boss Defeated: True | Player Died: False
2025-01-04 22:59:43,128 - Player: 1 | Cards Played: [JD] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 2 | Cards Played: [AS, TH] | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:59:43,128 - Player: 2 | Cards Played: [7H] | Boss Defeated: False | Player Died: False
