2025-01-04 22:55:22,836 - I log actions! :D
2025-01-04 22:55:23,352 - Player: 1 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:23,353 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:55:23,353 - Player: 1 | Cards Played: [AD] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:23,353 - Player: 2 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:23,353 - Player: 1 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:23,353 - Player: 2 | Cards Played: [TH] | Boss Defeated: True | Player Died: False
2025-01-04 22:55:23,353 - Player: 2 | Cards Played: [6C] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:23,353 - Player: 1 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:23,353 - Player: 2 | Cards Played: [3D] | Boss Defeated: True | Player Died: False
2025-01-04 22:55:23,353 - Player: 2 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:23,353 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:55:23,353 - Player: 2 | Cards Played: [4H] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:23,353 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:23,353 - Player: 2 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:23,353 - Player: 1 | Cards Played: [7D] | Boss Defeated: True | Player Died: False
2025-01-04 22:55:23,353 - Player: 1 | Cards Played: [3C] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:23,353 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:55:23,353 - Player: 1 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:23,353 - Player: 2 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:23,353 - Player: 1 | Cards Played: [AH, 8D] | Boss Defeated: True | Player Died: False
2025-01-04 22:55:23,353 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: True
