2025-01-04 20:16:06,847 - I log actions! :D
2025-01-04 20:16:39,239 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:16:39,240 - Player: 2 | Cards Played: [AC, 5D] | Boss Defeated: False | Player Died: False
2025-01-04 20:16:39,240 - Player: 1 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 20:16:39,240 - Player: 2 | Cards Played: [2C, 2H] | Boss Defeated: True | Player Died: False
2025-01-04 20:16:39,240 - Player: 2 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 20:16:39,240 - Player: 1 | Cards Played: [8C] | Boss Defeated: True | Player Died: False
2025-01-04 20:16:39,240 - Player: 1 | Cards Played: [AS, 4C] | Boss Defeated: False | Player Died: False
2025-01-04 20:16:39,240 - Player: 2 | Cards Played: [4H] | Boss Defeated: False | Player Died: False
2025-01-04 20:16:39,240 - Player: 1 | Cards Played: [7C] | Boss Defeated: True | Player Died: False
2025-01-04 20:16:39,240 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: True
