2025-01-04 22:55:39,286 - I log actions! :D
2025-01-04 22:55:39,737 - Player: 1 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:39,738 - Player: 2 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:39,738 - Player: 1 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:39,738 - Player: 2 | Cards Played: [2S] | Boss Defeated: True | Player Died: False
2025-01-04 22:55:39,738 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:55:39,738 - Player: 1 | Cards Played: [6C] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:39,738 - Player: 2 | Cards Played: [AD, 9D] | Boss Defeated: True | Player Died: False
2025-01-04 22:55:39,738 - Player: 2 | Cards Played: [JD] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:39,738 - Player: 1 | Cards Played: [7H] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:39,738 - Player: 2 | Cards Played: [2D] | Boss Defeated: True | Player Died: False
2025-01-04 22:55:39,738 - Player: 2 | Cards Played: [AS, 9H] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:39,738 - Player: 1 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:39,738 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:55:39,738 - Player: 1 | Cards Played: [AC, 5H] | Boss Defeated: True | Player Died: False
2025-01-04 22:55:39,738 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:55:39,738 - Player: 2 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 22:55:39,738 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
