2025-01-04 15:58:30,764 - I log actions! :D
2025-01-04 15:58:31,860 - Player: 1 | Cards Played: [9C] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:31,860 - Player: 2 | Cards Played: [3D] | Boss Defeated: True | Player Died: False
2025-01-04 15:58:31,860 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:58:31,860 - Player: 1 | Cards Played: [6H] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:31,860 - Player: 2 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:31,860 - Player: 1 | Cards Played: [AC, 2D] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:31,860 - Player: 2 | Cards Played: [8D] | Boss Defeated: True | Player Died: False
2025-01-04 15:58:31,860 - Player: 2 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:31,860 - Player: 1 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:31,860 - Player: 2 | Cards Played: [4C] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:31,860 - Player: 1 | Cards Played: [TD] | Boss Defeated: True | Player Died: False
2025-01-04 15:58:31,860 - Player: 1 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:31,860 - Player: 2 | Cards Played: [AH, 5D] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:31,860 - Player: 1 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:31,860 - Player: 2 | Cards Played: [AD] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:31,860 - Player: 1 | Cards Played: [AS] | Boss Defeated: False | Player Died: False
2025-01-04 15:58:31,860 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:58:31,860 - Player: 1 | Cards Played: [7D] | Boss Defeated: True | Player Died: False
2025-01-04 15:58:31,860 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: True
