2025-01-04 19:39:55,535 - I log actions! :D
2025-01-04 19:40:18,285 - Player: 1 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 2 | Cards Played: [AC, 4S] | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 1 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 19:40:18,286 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 2 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 1 | Cards Played: [AH, 7D] | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 2 | Cards Played: [AD, 3H] | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 1 | Cards Played: [5D] | Boss Defeated: True | Player Died: False
2025-01-04 19:40:18,286 - Player: 1 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 1 | Cards Played: [7S] | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 1 | Cards Played: [4H] | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 2 | Cards Played: [7H] | Boss Defeated: True | Player Died: False
2025-01-04 19:40:18,286 - Player: 2 | Cards Played: [5C, 5S] | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 1 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 1 | Cards Played: [AS] | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 1 | Cards Played: [3C] | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 2 | Cards Played: [TD] | Boss Defeated: True | Player Died: False
2025-01-04 19:40:18,286 - Player: 2 | Cards Played: [4D, 4S] | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 1 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 1 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 2 | Cards Played: [5H] | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,286 - Player: 1 | Cards Played: [TH] | Boss Defeated: True | Player Died: False
2025-01-04 19:40:18,286 - Player: 1 | Cards Played: [9S] | Boss Defeated: False | Player Died: False
2025-01-04 19:40:18,287 - Player: 2 | Cards Played: [7C] | Boss Defeated: False | Player Died: True
