2025-01-04 02:01:19,084 - I log actions! :D
2025-01-04 02:05:23,923 - Player: 1 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,939 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,942 - Player: 1 | Cards Played: [4C] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,945 - Player: 2 | Cards Played: [9S] | Boss Defeated: True | Player Died: False
2025-01-04 02:05:23,949 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,951 - Player: 1 | Cards Played: [7H] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,952 - Player: 2 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,953 - Player: 1 | Cards Played: [9D] | Boss Defeated: True | Player Died: False
2025-01-04 02:05:23,955 - Player: 1 | Cards Played: [AC, TD] | Boss Defeated: True | Player Died: False
2025-01-04 02:05:23,957 - Player: 1 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,958 - Player: 2 | Cards Played: [2D, 2S] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,959 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,962 - Player: 2 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,964 - Player: 1 | Cards Played: [AS, 8D] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,965 - Player: 2 | Cards Played: [5H, 5S] | Boss Defeated: True | Player Died: False
2025-01-04 02:05:23,966 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,969 - Player: 1 | Cards Played: [4H] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,969 - Player: 2 | Cards Played: [6D] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,972 - Player: 1 | Cards Played: [AH, 7D] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,974 - Player: 2 | Cards Played: [JD] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,975 - Player: 1 | Cards Played: [AD, 7H] | Boss Defeated: True | Player Died: False
2025-01-04 02:05:23,976 - Player: 1 | Cards Played: [AS, 8H] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,977 - Player: 2 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,977 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,981 - Player: 2 | Cards Played: [6H] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,982 - Player: 1 | Cards Played: [4D, 4S] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,984 - Player: 2 | Cards Played: [3C] | Boss Defeated: True | Player Died: False
2025-01-04 02:05:23,987 - Player: 2 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,988 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,990 - Player: 2 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,991 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,992 - Player: 2 | Cards Played: [3H] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,993 - Player: 1 | Cards Played: [5D, 5H] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,993 - Player: 2 | Cards Played: [JD] | Boss Defeated: True | Player Died: False
2025-01-04 02:05:23,993 - Player: 2 | Cards Played: [JS] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,993 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,994 - Player: 2 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,995 - Player: 1 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,996 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,997 - Player: 1 | Cards Played: [AC] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,998 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,999 - Player: 1 | Cards Played: [2H] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:23,999 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 02:05:24,002 - Player: 1 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:24,002 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 02:05:24,002 - Player: 1 | Cards Played: [2C] | Boss Defeated: False | Player Died: False
2025-01-04 02:05:24,002 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 02:05:24,003 - Player: 1 | Cards Played: [4C] | Boss Defeated: True | Player Died: False
2025-01-04 02:05:24,003 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: True
