2025-01-04 15:56:26,581 - I log actions! :D
2025-01-04 15:56:27,718 - Player: 1 | Cards Played: [8C] | Boss Defeated: False | Player Died: False
2025-01-04 15:56:27,718 - Player: 2 | Cards Played: [5D, 5H] | Boss Defeated: False | Player Died: False
2025-01-04 15:56:27,718 - Player: 1 | Cards Played: [4H] | Boss Defeated: True | Player Died: False
2025-01-04 15:56:27,718 - Player: 1 | Cards Played: [5S] | Boss Defeated: False | Player Died: False
2025-01-04 15:56:27,718 - Player: 2 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 15:56:27,718 - Player: 1 | Cards Played: [AH, 9D] | Boss Defeated: True | Player Died: False
2025-01-04 15:56:27,718 - Player: 1 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 15:56:27,718 - Player: 2 | Cards Played: [AS, 6S] | Boss Defeated: False | Player Died: False
2025-01-04 15:56:27,718 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:56:27,718 - Player: 2 | Cards Played: [AC, 5C] | Boss Defeated: True | Player Died: False
2025-01-04 15:56:27,718 - Player: 2 | Cards Played: [AD, 7C] | Boss Defeated: False | Player Died: False
2025-01-04 15:56:27,718 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 15:56:27,718 - Player: 2 | Cards Played: [3H] | Boss Defeated: False | Player Died: False
2025-01-04 15:56:27,718 - Player: 1 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 15:56:27,718 - Player: 1 | Cards Played: [6H] | Boss Defeated: False | Player Died: False
2025-01-04 15:56:27,718 - Player: 2 | Cards Played: [7D] | Boss Defeated: False | Player Died: False
2025-01-04 15:56:27,718 - Player: 1 | Cards Played: [2C, 2D] | Boss Defeated: False | Player Died: False
2025-01-04 15:56:27,718 - Player: 2 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 15:56:27,718 - Player: 1 | Cards Played: [4H] | Boss Defeated: False | Player Died: False
2025-01-04 15:56:27,718 - Player: 2 | Cards Played: [3D] | Boss Defeated: True | Player Died: False
2025-01-04 15:56:27,718 - Player: 2 | Cards Played: [AC, 9D] | Boss Defeated: False | Player Died: False
2025-01-04 15:56:27,718 - Player: 1 | Cards Played: [7H] | Boss Defeated: False | Player Died: False
2025-01-04 15:56:27,718 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: True
