2025-01-04 19:58:50,400 - I log actions! :D
2025-01-04 20:01:04,065 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:01:04,066 - Player: 2 | Cards Played: [AS, 9D] | Boss Defeated: False | Player Died: False
2025-01-04 20:01:04,066 - Player: 1 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 20:01:04,066 - Player: 2 | Cards Played: [8D] | Boss Defeated: True | Player Died: False
2025-01-04 20:01:04,066 - Player: 2 | Cards Played: [2D] | Boss Defeated: False | Player Died: False
2025-01-04 20:01:04,066 - Player: 1 | Cards Played: [7C] | Boss Defeated: False | Player Died: False
2025-01-04 20:01:04,066 - Player: 2 | Cards Played: [4C, 4D] | Boss Defeated: True | Player Died: False
2025-01-04 20:01:04,066 - Player: 2 | Cards Played: [AD, 7S] | Boss Defeated: False | Player Died: False
2025-01-04 20:01:04,066 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 20:01:04,066 - Player: 2 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 20:01:04,066 - Player: 1 | Cards Played: [2H] | Boss Defeated: True | Player Died: False
2025-01-04 20:01:04,066 - Player: 1 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 20:01:04,066 - Player: 2 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 20:01:04,066 - Player: 1 | Cards Played: [5C, 5H] | Boss Defeated: True | Player Died: False
2025-01-04 20:01:04,066 - Player: 1 | Cards Played: [4H] | Boss Defeated: False | Player Died: True
