2025-01-04 22:56:45,829 - I log actions! :D
2025-01-04 22:57:07,309 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: [AH, 6D] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: [AD, 8C] | Boss Defeated: True | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: [6S] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: [7H] | Boss Defeated: True | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: [TS] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: [AS] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: [5D] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: [3D] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: [2D] | Boss Defeated: True | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: [AC, TH] | Boss Defeated: True | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: [3H] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: [3S] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: [4D] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: [TD] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: [AD, 2H] | Boss Defeated: True | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: [AS, 7H] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: [5D, 5S] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: [AD, 5H] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: [6D] | Boss Defeated: True | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: [QS] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: [2S] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: [AC, 9H] | Boss Defeated: True | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: [JD] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: [AH, 3D] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: None | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: [8D] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 2 | Cards Played: [4S] | Boss Defeated: False | Player Died: False
2025-01-04 22:57:07,310 - Player: 1 | Cards Played: None | Boss Defeated: False | Player Died: False
